date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:04	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2015%20Nov%202025%2022:55:04%20GMT	https://gb-mundial.com/robots.txt		(from )
19:55:05	38510/38510	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2022:55:05%20GMT	https://gb-mundial.com/	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/index.html	(from )
19:55:05	9662/9662	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2031%20Oct%202007%2013:29:30%20GMT	https://gb-mundial.com/assets/img/Raon.ico	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/Raon.ico	(from https://gb-mundial.com/)
19:55:05	53844/53844	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Feb%202020%2019:07:40%20GMT	https://gb-mundial.com/assets/img/info/event-area03.jpg	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/info/event-area03.jpg	(from https://gb-mundial.com/)
19:55:05	46883/46883	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Oct%202025%2002:48:10%20GMT	https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/css/ca/2019/common_v3fe28.css	(from https://gb-mundial.com/)
19:55:05	18372/18372	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20Apr%202025%2005:21:47%20GMT	https://gb-mundial.com/assets/css/ca/2019/gameIdPopup.css?v=231221	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/css/ca/2019/gameIdPopupfe28.css	(from https://gb-mundial.com/)
19:55:06	95931/95931	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Dec%202024%2000:56:19%20GMT	https://gb-mundial.com/assets/js/ca/jquery.min.js	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/js/ca/jquery.min.js	(from https://gb-mundial.com/)
19:55:06	115316/115316	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Dec%202024%2000:56:18%20GMT	https://gb-mundial.com/assets/js/ca/TweenMax.min.js	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/js/ca/TweenMax.min.js	(from https://gb-mundial.com/)
19:55:06	8492/8492	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Dec%202024%2000:56:18%20GMT	https://gb-mundial.com/assets/js/ca/2019/common.js	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/js/ca/2019/common.js	(from https://gb-mundial.com/)
19:55:06	4987/4987	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Dec%202024%2000:56:18%20GMT	https://gb-mundial.com/assets/js/ca/2019/gameIdPopup.js?v=231221	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/js/ca/2019/gameIdPopupfe28.js	(from https://gb-mundial.com/)
